% Model:              COLINA_thin_increase_rad.mph
% Version:            COMSOL 6.3.0.420
% Date:               Nov 15 2025, 01:03
% Dimension:          2
% Nodes:              12457980
% Expressions:        2
% Description:        Streamline
% r                       z                        Streamline               Electric field norm
0.0015222527472527473     -0.2400000000000014      0                        8504.206267094385
0.001522131461162323      -0.23974621970541518     0                        8505.793647051823
0.0015216125157755684     -0.23877878538137254     0                        8511.844086660072
0.0015212130644584965     -0.23814908852872888     0                        8515.782310563514
0.0015208689988185121     -0.23765022057308127     0                        8519.910023244149
0.001520508043286456      -0.2371511107904402      0                        8524.039751872542
0.001520428268233412      -0.23704382013246908     0                        8524.927497006858
0.0015201693317356208     -0.23670928650912637     0                        8527.754968187477
0.0015196346957222445     -0.23606532125996987     0                        8534.116404507318
0.0015190618931956246     -0.23542087565221517     0                        8540.482638799094
0.0015188645688272067     -0.23520818785734565     0                        8542.583712602456
0.0015185887186132657     -0.23491754548840396     0                        8545.405321479911
0.001518537436894001      -0.23486414629190822     0                        8546.028117988626
0.0015175905376831886     -0.2339211622318534      0                        8556.895021184266
0.0015168086372573455     -0.2331986356462123      0                        8565.221417494164
0.0015160949568730853     -0.2325779218963201      0                        8573.739282771612
0.0015153385904605962     -0.2319565908596213      0                        8582.26564516767
0.001515084997640231      -0.23175564240830965     0                        8585.023213529157
0.0015146046240439898     -0.23137817692187362     0                        8590.272732793243
0.0015138916924307185     -0.230830520114362       0                        8598.693327373545
0.00151314585437922       -0.23028232650178526     0                        8607.122183659454
0.001512776347023523      -0.23001913613534647     0                        8611.16892056515
0.0015124380781341728     -0.22978045483251863     0                        8615.101666802564
0.0015114009793271536     -0.2290660134988209      0                        8627.002833091696
0.0015105553742638994     -0.22850754665566927     0                        8636.305798679961
0.001509487760863478      -0.22783139865898322     0                        8649.031659858509
0.0015083679582675858     -0.2271542543079058      0                        8661.776300447571
0.0015080004101397275     -0.22693841861509206     0                        8665.838583694629
0.0015072571047272192     -0.22650472907382818     0                        8674.203481658398
0.0015059040012470354     -0.2257343364033603      0                        8690.179827916418
0.0015044816353020495     -0.22496252503769307     0                        8706.18560936024
0.0015043618635030983     -0.22489914057102628     0                        8707.500073564886
0.001503339687543055      -0.2243590551647951      0                        8719.396308522513
0.0015019483994507012     -0.223638898248817       0                        8736.133755713501
0.0015004970704245546     -0.22291735898998558     0                        8752.903342282829
0.0014999509788845152     -0.22265298660319338     0                        8759.047731101793
0.001499377514232849      -0.22237706033066698     0                        8765.758434983112
0.0014980010038793397     -0.22172559209379128     0                        8782.161028470813
0.00149657449974725       -0.22107290507411162     0                        8798.594324759924
0.0014964864254912503     -0.22103330404824956     0                        8799.591396428294
0.0014954014958401972     -0.2205454499886576      0                        8812.508642845693
0.001494103800064215      -0.21997031494775696     0                        8827.938511947938
0.0014930418071519324     -0.21951230413545025     0                        8840.226159313763
0.0014917486079935652     -0.21896492269832935     0                        8855.949022037445
0.0014905005775009894     -0.21844363324396293     0                        8870.922436665009
0.0014894868799515378     -0.21802779217487347     0                        8882.767807016768
0.0014881266758888512     -0.21748318010321238     0                        8899.299741541416
0.001488015998744741      -0.2174394643476071      0                        8900.626753720031
0.0014856365342840693     -0.21651067249597009     0                        8928.57904037723
0.0014843115255232671     -0.21600225107914056     0                        8944.88782557887
0.0014832466772676375     -0.21559828082487922     0                        8957.846106036171
0.0014819538628433244     -0.21511532184284665     0                        8973.21051660723
0.0014804055404647638     -0.21455003206434273     0                        8992.295897847289
0.0014770464535734699     -0.21335323294694386     0                        9032.834083259466
0.0014767494119905524     -0.21324874709774053     0                        9036.373250032673
0.0014752520318828473     -0.21272650954194822     0                        9055.190432560574
0.0014737291167377627     -0.2122031842408704      0                        9074.04681154546
0.0014732444884663707     -0.21203824172143082     0                        9079.989996356237
0.001472530903300698      -0.21179697831433825     0                        9088.569671547657
0.001472164618485241      -0.21167403232589171     0                        9093.122601768124
0.001470402265068832      -0.21108817762359708     0                        9115.192057289849
0.0014686119351739987     -0.21050090112742043     0                        9137.315104856518
0.0014680412894786951     -0.21031532520041388     0                        9144.305864781445
0.0014674018845552657     -0.21010883774748396     0                        9152.256789061996
0.0014658127563237687     -0.20960092161744603     0                        9172.313703315707
0.0014642029734384396     -0.20909189244708523     0                        9192.414593095524
0.0014635505156438287     -0.20888710589089257     0                        9200.501350276649
0.0014628598176033283     -0.2086718051026018      0                        9209.215276870318
0.001461245831395785      -0.20817354364753532     0                        9229.755391209297
0.001459612394179501      -0.20767417090308032     0                        9250.341338431965
0.0014589953852757452     -0.2074867861403369      0                        9258.066020345366
0.0014584464194603154     -0.2073209605757895      0                        9265.013111824346
0.0014567511379084295     -0.20681333630388474     0                        9286.817465578864
0.0014550343040272901     -0.2063045174343291      0                        9308.67315646986
0.0014541647438218296     -0.20604876421253288     0                        9319.65873194087
0.001453619088480645      -0.20588921729063614     0                        9326.679190217597
0.0014518493188726796     -0.20537585582091006     0                        9349.632563693118
0.0014500587938320445     -0.20486123100571066     0                        9372.642446499234
0.0014494268939543096     -0.20468072603740042     0                        9380.713182318363
0.0014487927183414002     -0.20450051013134293     0                        9388.905828083121
0.0014469924248030584     -0.20399309351920702     0                        9412.508055895421
0.0014451710645699573     -0.20348440138966245     0                        9436.16963689164
0.0014443043079320592     -0.20324392507937483     0                        9447.355290147627
0.0014437055385911088     -0.2030786960930617      0                        9455.20904376601
0.0014417569188052161     -0.20254497295512774     0                        9480.969893468715
0.001439786751001312      -0.2020097958162869      0                        9506.800944278495
0.0014394672948746454     -0.20192343070646335     0                        9510.969475536578
0.001438308668263832      -0.20161212428725936     0                        9526.296063380441
0.0014363638838483066     -0.20109424212711702     0                        9552.265356113428
0.0014344003580519528     -0.20057494825388691     0                        9578.305457026476
0.0014343088095035528     -0.20055082255806192     0                        9579.5152455634
0.0014328596355981092     -0.20017135183093304     0                        9598.896872846723
0.0014309041019052158     -0.19966403352154888     0                        9625.294552307856
0.0014289309641889905     -0.1991553200807602      0                        9651.764841668577
0.001428895154260198      -0.19914611653076789     0                        9652.243737421082
0.0014274279041099295     -0.1987712502040222      0                        9672.088206623219
0.0014254250632337467     -0.19826405570781447     0                        9699.440110281466
0.001423404528890476      -0.1977554269371512      0                        9726.869377110077
0.001423323459683161      -0.19773508220045272     0                        9727.966525778818
0.001421845619561601      -0.19736633904889203     0                        9748.192855556423
0.0014197960948584328     -0.19685925977006863     0                        9776.512806358354
0.0014177289134613953     -0.1963507073817052      0                        9804.915044671045
0.0014176297137282398     -0.1963263749620921      0                        9806.27399095553
0.0014161627399169826     -0.19596850845961755     0                        9826.59065176943
